dateonly,sunrise,sunset,sunrisehour,sunsethour
2020-01-01,720.0,1639.0,7,16
2020-01-02,720.0,1640.0,7,16
2020-01-03,720.0,1641.0,7,16
2020-01-04,720.0,1642.0,7,16
2020-01-05,720.0,1643.0,7,16
2020-01-06,720.0,1644.0,7,16
2020-01-07,720.0,1644.0,7,16
2020-01-08,720.0,1645.0,7,16
2020-01-09,720.0,1646.0,7,16
2020-01-10,720.0,1647.0,7,16
2020-01-11,720.0,1649.0,7,16
2020-01-12,719.0,1650.0,7,16
2020-01-13,719.0,1651.0,7,16
2020-01-14,719.0,1652.0,7,16
2020-01-15,718.0,1653.0,7,16
2020-01-16,718.0,1654.0,7,16
2020-01-17,717.0,1655.0,7,16
2020-01-18,717.0,1656.0,7,16
2020-01-19,716.0,1657.0,7,16
2020-01-20,716.0,1659.0,7,16
2020-01-21,715.0,1700.0,7,17
2020-01-22,715.0,1701.0,7,17
2020-01-23,714.0,1702.0,7,17
2020-01-24,713.0,1703.0,7,17
2020-01-25,712.0,1705.0,7,17
2020-01-26,712.0,1706.0,7,17
2020-01-27,711.0,1707.0,7,17
2020-01-28,710.0,1708.0,7,17
2020-01-29,709.0,1710.0,7,17
2020-01-30,708.0,1711.0,7,17
2020-01-31,707.0,1712.0,7,17
2020-02-01,706.0,1713.0,7,17
2020-02-02,705.0,1714.0,7,17
2020-02-03,704.0,1716.0,7,17
2020-02-04,703.0,1717.0,7,17
2020-02-05,702.0,1718.0,7,17
2020-02-06,701.0,1719.0,7,17
2020-02-07,700.0,1721.0,7,17
2020-02-08,659.0,1722.0,6,17
2020-02-09,658.0,1723.0,6,17
2020-02-10,657.0,1724.0,6,17
2020-02-11,655.0,1726.0,6,17
2020-02-12,654.0,1727.0,6,17
2020-02-13,653.0,1728.0,6,17
2020-02-14,652.0,1729.0,6,17
2020-02-15,650.0,1730.0,6,17
2020-02-16,649.0,1732.0,6,17
2020-02-17,648.0,1733.0,6,17
2020-02-18,646.0,1734.0,6,17
2020-02-19,645.0,1735.0,6,17
2020-02-20,644.0,1736.0,6,17
2020-02-21,642.0,1738.0,6,17
2020-02-22,641.0,1739.0,6,17
2020-02-23,639.0,1740.0,6,17
2020-02-24,638.0,1741.0,6,17
2020-02-25,636.0,1742.0,6,17
2020-02-26,635.0,1743.0,6,17
2020-02-27,633.0,1745.0,6,17
2020-02-28,632.0,1746.0,6,17
2020-02-29,630.0,1747.0,6,17
2020-03-01,629.0,1748.0,6,17
2020-03-02,627.0,1749.0,6,17
2020-03-03,626.0,1750.0,6,17
2020-03-04,624.0,1751.0,6,17
2020-03-05,623.0,1753.0,6,17
2020-03-06,621.0,1754.0,6,17
2020-03-07,619.0,1755.0,6,17
2020-03-08,618.0,1756.0,6,17
2020-03-09,616.0,1757.0,6,17
2020-03-10,615.0,1758.0,6,17
2020-03-11,613.0,1759.0,6,17
2020-03-12,611.0,1800.0,6,18
2020-03-13,610.0,1801.0,6,18
2020-03-14,608.0,1802.0,6,18
2020-03-15,606.0,1803.0,6,18
2020-03-16,605.0,1805.0,6,18
2020-03-17,603.0,1806.0,6,18
2020-03-18,601.0,1807.0,6,18
2020-03-19,600.0,1808.0,6,18
2020-03-20,558.0,1809.0,5,18
2020-03-21,556.0,1810.0,5,18
2020-03-22,555.0,1811.0,5,18
2020-03-23,553.0,1812.0,5,18
2020-03-24,551.0,1813.0,5,18
2020-03-25,550.0,1814.0,5,18
2020-03-26,548.0,1815.0,5,18
2020-03-27,547.0,1816.0,5,18
2020-03-28,545.0,1817.0,5,18
2020-03-29,543.0,1818.0,5,18
2020-03-30,542.0,1819.0,5,18
2020-03-31,540.0,1820.0,5,18
2020-04-01,538.0,1821.0,5,18
2020-04-02,537.0,1823.0,5,18
2020-04-03,535.0,1824.0,5,18
2020-04-04,533.0,1825.0,5,18
2020-04-05,532.0,1826.0,5,18
2020-04-06,530.0,1827.0,5,18
2020-04-07,529.0,1828.0,5,18
2020-04-08,527.0,1829.0,5,18
2020-04-09,525.0,1830.0,5,18
2020-04-10,524.0,1831.0,5,18
2020-04-11,522.0,1832.0,5,18
2020-04-12,521.0,1833.0,5,18
2020-04-13,519.0,1834.0,5,18
2020-04-14,518.0,1835.0,5,18
2020-04-15,516.0,1836.0,5,18
2020-04-16,514.0,1837.0,5,18
2020-04-17,513.0,1838.0,5,18
2020-04-18,511.0,1839.0,5,18
2020-04-19,510.0,1840.0,5,18
2020-04-20,508.0,1841.0,5,18
2020-04-21,507.0,1842.0,5,18
2020-04-22,506.0,1844.0,5,18
2020-04-23,504.0,1845.0,5,18
2020-04-24,503.0,1846.0,5,18
2020-04-25,501.0,1847.0,5,18
2020-04-26,500.0,1848.0,5,18
2020-04-27,459.0,1849.0,4,18
2020-04-28,457.0,1850.0,4,18
2020-04-29,456.0,1851.0,4,18
2020-04-30,455.0,1852.0,4,18
2020-05-01,453.0,1853.0,4,18
2020-05-02,452.0,1854.0,4,18
2020-05-03,451.0,1855.0,4,18
2020-05-04,450.0,1856.0,4,18
2020-05-05,449.0,1857.0,4,18
2020-05-06,447.0,1858.0,4,18
2020-05-07,446.0,1859.0,4,18
2020-05-08,445.0,1900.0,4,19
2020-05-09,444.0,1901.0,4,19
2020-05-10,443.0,1902.0,4,19
2020-05-11,442.0,1903.0,4,19
2020-05-12,441.0,1904.0,4,19
2020-05-13,440.0,1905.0,4,19
2020-05-14,439.0,1906.0,4,19
2020-05-15,438.0,1907.0,4,19
2020-05-16,437.0,1908.0,4,19
2020-05-17,436.0,1909.0,4,19
2020-05-18,435.0,1910.0,4,19
2020-05-19,434.0,1911.0,4,19
2020-05-20,434.0,1912.0,4,19
2020-05-21,433.0,1913.0,4,19
2020-05-22,432.0,1914.0,4,19
2020-05-23,431.0,1914.0,4,19
2020-05-24,431.0,1915.0,4,19
2020-05-25,430.0,1916.0,4,19
2020-05-26,429.0,1917.0,4,19
2020-05-27,429.0,1918.0,4,19
2020-05-28,428.0,1919.0,4,19
2020-05-29,428.0,1919.0,4,19
2020-05-30,427.0,1920.0,4,19
2020-05-31,427.0,1921.0,4,19
2020-06-01,426.0,1922.0,4,19
2020-06-02,426.0,1922.0,4,19
2020-06-03,426.0,1923.0,4,19
2020-06-04,425.0,1924.0,4,19
2020-06-05,425.0,1924.0,4,19
2020-06-06,425.0,1925.0,4,19
2020-06-07,425.0,1925.0,4,19
2020-06-08,424.0,1926.0,4,19
2020-06-09,424.0,1927.0,4,19
2020-06-10,424.0,1927.0,4,19
2020-06-11,424.0,1928.0,4,19
2020-06-12,424.0,1928.0,4,19
2020-06-13,424.0,1928.0,4,19
2020-06-14,424.0,1929.0,4,19
2020-06-15,424.0,1929.0,4,19
2020-06-16,424.0,1930.0,4,19
2020-06-17,424.0,1930.0,4,19
2020-06-18,424.0,1930.0,4,19
2020-06-19,424.0,1930.0,4,19
2020-06-20,425.0,1931.0,4,19
2020-06-21,425.0,1931.0,4,19
2020-06-22,425.0,1931.0,4,19
2020-06-23,425.0,1931.0,4,19
2020-06-24,426.0,1931.0,4,19
2020-06-25,426.0,1931.0,4,19
2020-06-26,426.0,1931.0,4,19
2020-06-27,427.0,1931.0,4,19
2020-06-28,427.0,1931.0,4,19
2020-06-29,428.0,1931.0,4,19
2020-06-30,428.0,1931.0,4,19
2020-07-01,429.0,1931.0,4,19
2020-07-02,429.0,1931.0,4,19
2020-07-03,430.0,1931.0,4,19
2020-07-04,430.0,1930.0,4,19
2020-07-05,431.0,1930.0,4,19
2020-07-06,431.0,1930.0,4,19
2020-07-07,432.0,1929.0,4,19
2020-07-08,433.0,1929.0,4,19
2020-07-09,433.0,1929.0,4,19
2020-07-10,434.0,1928.0,4,19
2020-07-11,435.0,1928.0,4,19
2020-07-12,436.0,1927.0,4,19
2020-07-13,436.0,1927.0,4,19
2020-07-14,437.0,1926.0,4,19
2020-07-15,438.0,1926.0,4,19
2020-07-16,439.0,1925.0,4,19
2020-07-17,440.0,1924.0,4,19
2020-07-18,440.0,1924.0,4,19
2020-07-19,441.0,1923.0,4,19
2020-07-20,442.0,1922.0,4,19
